Locality,Locality_type,Sternberg_Map_No,Latitude,Longitude,UTM_East,UTM_North,Elevation_MASL,Locality_no,Formation,Elevation_TMP_DEM,Reference_Oldman_contact,Contact_elev_TMP_DEM,Height_Oldman_DPF,Height_PT,Height_LCZ,Strat_unit,Within_DPP,Within_DPP_vicinity,Within_map,Within_bonebed,Identification,Discovered_by,Date_discovered,Staked,Date_staked,Last_date_checked,References
Q172,Q,,50.7711638098,-111.4558666121,467855,5624477,653.9,U043,DPF,654.118469238281,BB078 (Eberth 1990),654.18,0,,,DPF1,Y,Y,Y,,Hadrosauridae,G. L. P. Danis; J. Shultis,1986-07-18,Y,1988-06-15,2001-07-04,
Q173,Q,,50.7720522632,-111.3973607751,471981,5624552,675.4,U041,DPF,676.491027832031,Contact 157,661.868896484375,14.622131347656,,,DPF3,Y,Y,Y,,Hadrosauridae,P. Harrop,1986-07-18,Y,1982-09-30,1998-08-21,
Q174,Q,,50.7739149257,-111.4560493606,467844,5624783,678.8,U045,DPF,678.920776367188,BB078 (Eberth 1990),654.18,24.740776367188,,,DPF3,Y,Y,Y,,Corythosaurus casuarius,P. J. Currie,1986-07-22,Y,1982-11-02,2001-07-04,
Q175,Q,,50.772469543,-111.3963006602,472056,5624598,683.6,U056,DPF,689.467590332031,Contact 157,661.868896484375,27.598693847656,,,DPF4,Y,Y,Y,,Lambeosaurus lambei,P. Dodson,1982-07-01,Y,1982-10-31,1998-08-21,
Q176,Q,,50.8256369289,-111.855395551,439753,5630784,665.3,,DPF,NA,NA,NA,NA,,,,N,Y,N,,Champsosaurus sp.,D. Tanke,,Y,1982-11-06,2003-05-23,
Q177,Q,,50.7642752087,-111.414920056,470738,5623694,684.5,U060,DPF,688.242248535156,Contact 074,656.457275390625,29,,,DPF4,Y,Y,Y,,Hadrosauridae,L.D. Watson,1987-05-02,Y,1988-06-15,2003-06-28,
Q178,Q,,50.846920988,-111.7840221378,444805,5633095,662.4,U057,DPF,NA,NA,NA,NA,,,DPF2,N,N,N,,Daspletosaurus sp.,P. J. Currie,1986-08-20,Y,1988-06-17,2003-05-23,
Q179,Q,,50.8195043172,-111.3226368759,477273,5629803,700.3,,DPF,NA,NA,NA,42,,,DPF5,N,Y,N,,Styracosaurus albertensis,C. D. Switzer; J. Bancroft,,Y,1988-06-17,2003-06-26,
Q180,Q,,50.7507519257,-111.5034680268,464483,5622229,666.4,,DPF,666.387878417969,Contact 083,657.2258,9.16207841796893,,,DPF1,Y,Y,Y,,Leidyosuchus canadensis,J. Walper,,Y,1988-06-07,2000-10-12,
Q181,Q,,50.7524488209,-111.5041099734,464439,5622418,665.8,,DPF,665.810668945312,Contact 083,657.2258,8.584868945312,,,DPF1,Y,Y,Y,,Centrosaurus apertus,T. Tokaryk,,Y,1988-06-07,2000-10-12,
Q182,Q,,50.7406105604,-111.4923047903,465263,5621096,704.6,x,DPF,704.284057617188,Contact 201,670.5576,33.726457617188,,,DPF4,Y,Y,Y,,Leidyosuchus canadensis,K. Kucher,2003-07-13,N,,2002-05-14,
Q183,Q,,50.7540718163,-111.5769237425,459304,5622637,696,U062,DPF,NA,Contact 099,658.619323730469,37.380676269531,,,DPF4,N,Y,?,,Styracosaurus albertensis,J. McCabe,1991-06-08,Y,1988-06-07,1999-08-24,
Q184,Q,,50.7666974691,-111.3768958464,473421,5623949,712.4,U061,DPF,711.403625488281,Contact 033,655.827026367188,56,,,LCZ,Y,Y,Y,,Chasmosaurus irvinensis,L. J. Strong,1991-06-04,Y,2003-05-18,2003-05-18,
Q185,Q,,50.7623613212,-111.4713070535,466760,5623505,664,U007,DPF,663.869506835938,Contact 167,663.8688,0.000706835937990036,,,DPF1,Y,Y,Y,,Hadrosauridae,?G. Naylor,,Y,1988-06-21,2001-07-26,
Q186,Q,,50.7711367187,-111.4021038553,471646,5624452,682.5,,DPF,683.72021484375,Contact 160,660.351806640625,23.368408203125,,,DPF2,Y,Y,Y,,Hadrosauridae,D. B. Brinkman,,N,,1999-08-25,
Q187,Q,,50.7500275603,-111.5046084534,464402,5622149,669.4,,DPF,668.878295898438,Contact 083,657.2258,6,,,DPF2,Y,Y,Y,,Troodon inequalis,Z. Tang,,N,,2003-09-25,
Q188,Q,,50.7514202671,-111.5674784739,459968,5622336,678,U072,DPF,675.946655273438,Contact 099,658.619323730469,17.327331542969,,,DPF2,N,Y,?,,Ornithomimidae,J. McCabe,1991-06-05,Y,1988-06-10,1999-08-24,"DIFFERENT UTM ON UAD DATA SHEET WHICH = 12; 460,010; 5,622,115 "
Q189,Q,,50.7286394961,-111.5659421901,460057,5619802,698.3,U065,DPF,698.047058105469,Contact 190,668.9937,29.053358105469,,,DPF3,Y,Y,Y,,Champsosaurus lindoei,L. J. Strong,1991-06-15,Y,1988-06-10,2001-07-10,
Q190,Q,,50.7354760426,-111.5637005468,460221,5620561,694.4,U064,DPF,693.555480957031,Contact 139,660.815246582031,32.740234375,,,DPF3,Y,Y,Y,,Ornithomimidae,D. Brinkman,1991-06-15,Y,1988-06-15,1999-07-28,
Q191,Q,,50.8466972162,-111.1354108462,490467,5632786,668.6,x,DPF,NA,NA,NA,3,,,DPF1,N,N,N,,Struthiomimus altus,E. Nicholls,Summer 1979,Y,1988-06-20,2005-07-01,
Q192,Q,,50.7888332636,-111.334172496,476445,5626396,700.5,x,DPF,NA,Contact 076,655.748840332031,44.751159667969,,,DPF5,N,Y,N,,Prosaurolophus maximus,J. Nicholls,Summer 1980,Y,1988-06-20,1999-07-14,
Q193,Q,,50.785884884,-111.3337258967,476475,5626068,762.5,x,DPF,NA,Contact 076,655.748840332031,106.751159667969,,,Bearpaw,N,Y,N,,Tylosaurus,G. Stonely,,Y,1988-06-20,1999-07-14,
Q194,Q,,50.7703909266,-111.360659497,474568,5624354,692.7,U074,DPF,NA,Contact 142,660.720092773438,31.9799072265621,,,DPF4,N,Y,?,,Hadrosauridae,D. Seburn,1987-07-31,N,,1999-07-21,
Q195,Q,,50.7705553929,-111.5236622633,463074,5624441,661.3,U142,DPF,661.385070800781,Contact 062,655.933776855469,6,,,DPF1,Y,Y,Y,,Euoplocephalus tutus,D. B. Brinkman,1998-08-12,Y,2003-06-17,2001-10-17,
Q196,Q,,50.8166092673,-111.5822222458,458985,5629593,674.6,Myst12,DPF,674.894958496094,Contact 017,648.4369,26.4580584960939,,,DPF3,Y,Y,Y,,cf. Parasaurolophus; Boremys skeleton,,1905-03-30,Y,2003-05-21,2001-10-15,
Q197,Q,,50.7289688624,-111.561057876,460402,5619836,692.8,U069,DPF,691.333984375,Contact 190,668.9937,22.340284375,,,DPF3,Y,Y,Y,,Lambeosaurinae,J. McCabe,1991-06-21,N,,2001-07-10,
Q198,Q,,50.8222757992,-111.5980231776,457877,5630232,666.1,x,DPF,665.669921875,Contact 017,648.4369,17.233021875,,,DPF2,Y,Y,Y,,Euoplocephalus tutus,W. Sloboda,,Y,,1998-07-14,
Q199,Q,,50.7367205638,-111.5629785796,460273,5620699,693.3,x,DPF,693.054321289062,Contact 139,660.815246582031,32.239074707031,,,DPF3,Y,Y,Y,,Ornithomimidae,P. J. Currie,,N,,2001-07-10,
Q200,Q,,50.7273321611,-111.5610524961,460401,5619654,697.2,x,DPF,696.924987792969,Contact 190,668.9937,27.931287792969,,,DPF3,Y,Y,Y,,Gorgosaurus libratus,P. J. Currie; D. Tanke,,Y,,2003-06-24,
Q201,Q,,50.737191891,-111.5073047904,464202,5620723,694,x,DPF,694.470581054688,Contact 155,662.1328,32.337781054688,,,DPF4,Y,Y,Y,,Edmontonia rugosidens,Z. Tang,Summer 1991,Y,1998-07-15,2005-06-30,
Q202,Q,,50.7693093586,-111.4078031536,471243,5624251,695.1,x,DPF,695.013732910156,Contact 162,662.910339355469,32.103393554687,,,DPF4,Y,Y,Y,,Basilemys,K. Kucher,,Y,Summer 1998,1998-08-21,
Q203,Q,,50.8271121784,-111.5930870445,458229,5630767,671.5,x,DPF,671.357177734375,Contact 017,648.4369,22.920277734375,,,DPF3,Y,Y,Y,,Euoplocephalus tutus,W. Sloboda,,Y,,2000-07-25,
Q204,Q,,50.8281075283,-111.5954140838,458066,5630879,659.8,x,DPF,659.195495605469,Contact 017,648.4369,10.7585956054689,,,DPF2,Y,Y,Y,,Centrosaurus apertus,R. Stiller,,Y,,2001-07-30,
Q205,Q,,50.7623861155,-111.5040891283,464448,5623523,655.2,x,DPF,655.170776367188,Contact 041,653.577941894531,1.59283447265693,,,DPF1,Y,Y,Y,,Lambeosaurinae,,,Y,2003-05-20,2000-10-13,
Q206,Q,,50.7436673647,-111.5092456401,464070,5621444,686,U092,DPF,685.809997558594,Contact 177,666.0112,19.7987975585939,,,DPF2,Y,Y,Y,,Lambeosaurinae; cf. Parasaurolophus,D. Tanke,Summer 1991,Y,,2005-06-30,
Q207,Q,,50.7424141665,-111.5181326716,463442,5621309,667.9,x,DPF,667.048217773438,Contact 233,667.058166503906,2.069,,,DPF1,Y,Y,Y,,Azhdarchidae,W. Sloboda,,Y,,2005-06-27,
Q208,Q,,50.7270255982,-111.5612188548,460389,5619620,700.5,x,DPF,700.283996582031,Contact 190,668.9937,31.290296582031,,,DPF4,Y,Y,Y,,Prosaurolophus maximus,D. Tanke,,Y,,2003-06-24,
Q209,Q,,50.7376666832,-111.5138855117,463738,5620779,687.4,U089,DPF,687.187072753906,Contact 195,669.764,17.423072753906,,,DPF2,Y,Y,Y,,Ornithomimidae,W. Sloboda,1992-07,Y,1998-07-21,1998-07-20,
Q210,Q,,50.8243296632,-111.3240047131,477179,5630340,695.3,U093,DPF,NA,NA,NA,NA,,,DPF4,N,Y,N,,Daspletosaurus sp.,W. Marshall,Summer 1992,Y,,2003-06-26,
Q211,Q,,50.7376966139,-111.4880794659,465559,5620770,693.2,U095,DPF,693.112487792969,Contact 201,670.5576,22.554887792969,,,DPF4,Y,Y,Y,,Ornithomimidae,S. Currie; K. Wallis,1992-08-01,Y,,2000-10-13,
Q212,Q,,50.7354183328,-111.4823307658,465963,5620514,713,x,DPF,713.180419921875,Contact 201,670.5576,42.622819921875,,,DPF5,N,Y,Y,,Chasmosaurus sp.,W. Sloboda,,Y,,2000-10-13,
Q213,Q,,50.7421153182,-111.4894718216,465464,5621262,696.1,U101,DPF,695.480895996094,Contact 201,670.5576,24.923295996094,,,DPF3,Y,Y,Y,,Prosaurolophus maximus,D. Tanke,1997-07-29,Y,,2005-06-30,
Q214,Q,,50.7371646025,-111.5176070917,463475,5620725,681.9,U103,DPF,681.618225097656,Contact 195,669.764,11.854225097656,,,DPF2,Y,Y,Y,,Ornithomimidae,P. J. Currie,1998-07-08,Y,1998-07-21,2001-10-22,
Q215,Q,,50.7411950199,-111.5172546891,463503,5621173,680.8,U104,DPF,680.671508789062,Contact 238,660.914184570312,19.75732421875,,,DPF2,Y,Y,Y,,Gorgosaurus skeleton,P. J. Currie,1998-07-15,Y,,2001-07-08,
Q216,Q,,50.749027865,-111.5233086614,463082,5622047,663.2,U105,DPF,659.224548339844,Contact 226,662.047729492188,1.405,,,DPF1,Y,Y,Y,,Lambeosaurinae,N. Beavan,1998-07-27,Y,1998-07-22,2005-06-26,
Q217,Q,,50.7406687324,-111.5283317442,462721,5621120,669.6,,DPF,665.457275390625,Contact 231,667.943420410156,4.03,,,DPF1,Y,Y,Y,,Centrosaurus apertus,K. Routley,,Y,1998-08-03,2005-06-27,
Q218,Q,,50.7317788513,-111.4795019502,466160,5620108,723.8,U106,DPF,723.95068359375,Contact 209,678.653137207031,45.297546386719,,,DPF5,N,Y,?,,Gorgosaurus libratus,J. McCabe,1998-08-11,Y,2003-05-30,2001-10-21,
Q219,Q,,50.7561085957,-111.5265774676,462857,5622836,657.3,x,DPF,657.431762695312,Contact 114,659.246887207031,-1.81512451171898,,,DPF1,Y,Y,Y,,Gorgosaurus libratus,C. Manz,,Y,,2003-06-16,
Q220,Q,,50.7417232705,-111.5356992774,462202,5621241,660.2,U107,DPF,659.823669433594,Contact 097,658.445983886719,1.377685546875,,,DPF1,Y,Y,Y,,Gorgosaurus libratus,W. Sloboda,1998-08-27,Y,1998-08-03,2001-10-22,
Q221,Q,,50.7516707213,-111.5093324719,464070,5622334,663.7,x,DPF,663.152770996094,Contact 239,661.986,1.677,,,DPF1,Y,Y,Y,,Ornithomimus edmontonicus,,,Y,Summer 1998,2005-06-27,
Q222,Q,,50.814363072,-111.5745575356,459523,5629339,682.7,x,DPF,683.05712890625,Contact 017,648.4369,34.62022890625,,,DPF4,Y,Y,Y,BB055,Unescoceratops koppelhusae,P. J. Currie,1905-06-17,Y,1998-08-25,2000-07-25,
Q223,Q,,50.7396898734,-111.5098402478,464025,5621002,682,,DPF,681.049011230469,Contact 155,662.1328,14,,,DPF2,Y,Y,Y,,Daspletosaurus torosus,,,Y,1998-09-08,1999-07-20,
Q224,Q,,50.8266110401,-111.5961333695,458014,5630713,654.7,x,DPF,654.199096679688,Contact 017,648.4369,5.76219667968792,,,DPF1,Y,Y,Y,BB166,Centrosaurus apertus,P. Druckenmiller,2001-08-12,Y,,2001-07-30,
Q225,Q,,50.8168594214,-111.5861433208,458709,5629623,667,U116,DPF,666.488098144531,Contact 017,648.4369,18.051198144531,,,DPF2,Y,Y,Y,,Hadrosauridae,E. Stefanuk,Reported in June 98,Y,1998-08-25,2003-06-25,
Q226,Q,,50.8180801108,-111.5812184305,459057,5629756,666.4,U120,DPF,666.099548339844,Contact 017,648.4369,17.6626483398439,,,DPF2,Y,Y,Y,,Myledaphus,D. Brinkman,,Y,,2000-07-25,
Q227,Q,,50.8170875592,-111.5890562736,458504,5629650,679.5,U126,DPF,679.100708007812,Contact 017,648.4369,45,,,DPF4,Y,Y,Y,,Nodosauridae,K. Kucher,2002-07-15,Y,1998-08-25,2003-05-21,
Q228,Q,,50.8169997136,-111.588643497,458533,5629640,680,U114,DPF,679.885192871094,Contact 017,648.4369,45,,,DPF4,Y,Y,Y,,Panoplosaurus,M. Getty,1998-06-01,Y,1998-08-25,2003-05-21,
Q229,Q,,50.8178871043,-111.5909969661,458368,5629740,667.7,U113,DPF,667.230407714844,Contact 017,648.4369,35,,,DPF2,Y,Y,Y,,Edmontonia,D. B. Brinkman,2002-07-04,Y,1998-08-25,2000-07-25,
Q230,Q,,50.7705788018,-111.5284416847,462737,5624446,661.2,U124,DPF,660.03662109375,Contact 075,656.6,3,,,DPF1,Y,Y,Y,,Edmontonia rugosidens,P. J. Currie,2002-07-11,Y,2003-06-17,2001-10-17,
Q231,Q,,50.7431366347,-111.5194729246,463348,5621390,674.2,Field #6,DPF,673.207214355469,Contact 234,663.029479980469,6.181,,,DPF1,Y,Y,Y,,Centrosaurus apertus,,,Y,1999-08-24,2005-06-27,
Q232,Q,,50.7453013066,-111.5220765168,463166,5621632,668.2,U153,DPF,667.62841796875,Contact 237,667.186462402344,2.876,,,DPF1,Y,Y,Y,,Hadrosauridae,,,Y,2003-06-13,2005-06-27,
Q233,Q,,50.8154412013,-111.5765864665,459381,5629460,679.9,,DPF,679.667541503906,Contact 017,648.4369,31.230641503906,,,DPF4,Y,Y,Y,,Basilemys variolosa,D. Kazmaier,2004-07-26,Y,2000-08-11,2003-05-21,
Q234,Q,,50.8171085494,-111.6025565584,457553,5629660,665.7,U111,DPF,665.394348144531,Contact 021,649.226989746094,16.167358398437,,,DPF2,Y,Y,Y,,Gorgosaurus sp.,D. Wagoner,2001-08-12,Y,2003-05-21,2003-05-22,
Q235,Q,,50.7424140982,-111.4974968319,464898,5621299,682.2,U164a,DPF,683.064636230469,Contact 201,670.5576,12.507036230469,,,DPF2,Y,Y,Y,,Edmontonia skull; Easting coordinates off by 5m in TMP online DB,D. Tanke,2004-08-15,Y,2003-05-14,2000-10-12,
Q236,Q,,50.7402222916,-111.4862491486,465690,5621050,709,,DPF,708.89404296875,Contact 201,670.5576,38.33644296875,,,DPF4,Y,Y,Y,,Tyrannosauridae,C. H. Sternberg,1905-03-28,Y,2000,2001-07-02,
Q237,Q,,50.7401699454,-111.5090518123,464081,5621055,680.2,,DPF,679.76904296875,Contact 155,662.1328,17.63624296875,,,DPF2,Y,Y,Y,,Chasmosaurus,G. F. Sternberg,,Y,2001-07-26,2001-07-26,
Q238,Q,,50.737279696,-111.4801958305,466115,5620720,717.1,x,DPF,717.070007324219,Contact 201,670.5576,46.512407324219,,,DPF5,Y,Y,Y,,Gorgosaurus libratus,E. Stefanuk,Reported in Oct. 1998,Y,2003-05-29,2002-06-25,
Q239,Q,,50.7634991183,-111.4919494004,465305,5623641,665.4,U168,DPF,664.775390625,Contact 060,665.4125,0,,,DPF1,Y,Y,Y,,Hadrosauridae caudal series of 10 plus,E. Koppelhus,2005-07-27,Y,2003-06-16,2001-10-16,
Q240,Q,,50.7624200265,-111.3786905697,473292,5623474,714.6,U109,DPF,714.79541015625,Contact 157,661.868896484375,52.926513671875,,,LCZ,Y,Y,Y,,Pachyrhinosaurus sp.,G. Johnson,2000-07-24,N,,2001-10-21,At bottom of 9-m deep channel fill cutting through LCZ; corrected elevation 723.6 m
Q241,Q,,50.8467521128,-111.1562489404,489000,5632795,662.4,CMN 1915-7,DPF,NA,NA,NA,NA,,,,N,N,N,,Euoplocephalus tutus,G. F. Sternberg,,N,,2005-07-01,
Q242,Q,,50.8428358931,-111.1383397454,490260,5632357,678.6,CMN 1915-8,DPF,NA,NA,NA,NA,,,,N,N,N,,Hadrosauridae,C. H. Sternberg,,N,,2005-07-01,
Q243,Q,,50.8428630059,-111.1382261993,490268,5632360,680.6,CMN 1915-9,DPF,NA,NA,NA,NA,,,,N,N,N,,Corythosaurus casuarius,C. H. Sternberg,,N,,2005-07-01,
Q244,Q,,50.7569142723,-111.4902925031,465416,5622908,672,U235,DPF,666.342163085938,Contact 130,660.003234863281,6.33892822265693,,,DPF1,Y,Y,Y,,Ornithomimidae,P. Bell,2009-05-25,N,,2005-07-01,
Q245,Q,,50.8103638688,-111.6314672503,455510,5628927,677.8,JMC207,DPF,NA,Contact 021,649.226989746094,28.573010253906,,,DPF4,N,Y,N,BB102,?crocodile,J. Danis,,Y,,2003-05-22,
Q246,Q,,50.8168753374,-111.5865551904,458680,5629625,673,Lambe,DPF,669.990539550781,Contact 017,648.4369,21.553639550781,,,DPF3,Y,Y,Y,,Basilemys,G. F. Sternberg,1905-03-28,N,,,
Q247,Q,,50.7587227627,-111.4943379189,465133,5623111,667.1,U206,DPF,666.560119628906,Contact 111,659.3497,7.21041962890604,,,DPF2,Y,Y,Y,BB189,Corythosaurus casuarius,W. Sloboda,Approx June 2002,N,,2002-07-18,
Q248,Q,,50.72661479,-111.5587486762,460563,5619573,700.2,U231,DPF,700.695434570312,Contact 190,668.9937,31.7017345703121,,,DPF4,Y,Y,Y,,Styracosaurus albertensis,D. Tanke,2001-07-10,N,,2005-07-01,
Q249,Q,,50.7442211086,-111.5121713903,463864,5621507,670.5,,DPF,675.563293457031,Contact 182,667.899047851562,7.66424560546898,,,DPF1,Y,Y,Y,,Centrosaurus apertus,B. Brown crew,Summer 1914,N,,2003-06-23,
Q250,Q,,50.7439202629,-111.5581325524,460620.5,5621497,,,DPF,689.752624511719,Contact 141,661.349914550781,28.402709960938,,,DPF4,Y,Y,Y,,Styracosaurus albertensis,B. Brown crew,1905-03-29,N,,Summer 2006,
Q251,Q,,50.762610394,-111.422746337,470185,5623512,666,LAL 864 UA22,DPF,665.690185546875,Contact 127,660.0668,5.62338554687506,,,DPF2,Y,Y,Y,,Edmontonia rugosidens,D. Krause,1905-05-22,N,,Summer 2007,
Q252,Q,,50.7619140879,-111.5051049344,464376,5623471,,,DPF,660.266906738281,Contact 026,650.918823242188,9.34808349609307,,,DPF2,Y,Y,Y,,Gryposaurus,W. E. Cutler,1905-03-27,N,,,
Q253,Q,,50.7759740528,-111.3836648016,472949,5624983,693,U246,DPF,698.154663085938,Contact 033,655.827026367188,42.32763671875,,,DPF4,Y,Y,Y,BB041,Gorgosaurus libratus,P. Bell,2008-06-15,N,,Summer 2009,
Q254,Q,,50.7776420174,-111.3796077658,473236,5625167,651.2,,DPF,660.449340820312,Contact 106,658.793518066406,1.65582275390602,,,DPF1,Y,Y,Y,,Ornithomimidae,D. Larson,2009-05-09,N,,Summer 2009,
Q255,Q,,50.7844680418,-111.3653922966,474242,5625921,669,,DPF,663.240234375,Contact 100,658.422424316406,4.81781005859398,,,DPF2,Y,Y,Y,,Chasmosaurus belli,P. J. Currie,2010-05-27,N,,,
Q256,Q,,50.7836804122,-111.3699112959,473923,5625835,712,,DPF,707.793823242188,Contact 100,658.422424316406,49.3713989257819,,,DPF5,Y,Y,Y,,Styracosaurus albertensis,E. Koppelhus,2010-05-27,N,,,
Q257,Q,,50.7432159701,-111.4799730802,466135,5621380,691.3,,DPF,708.1611328125,Contact 223,663.111,45.0501328125,,,DPF3,Y,Y,Y,,Gorgosaurus libratus,D. Tanke,1905-06-30,N,,,
Q258,Q,,50.7846345212,-111.3639182841,474346,5625939,650.5,,Oldman,657.589172363281,Contact 100,658.422424316406,-0.833251953125,,,Oldman,Y,Y,Y,,Gorgosaurus libratus,S. Plotkin,1905-07-02,N,,,
Q259,Q,,50.7448868593,-111.5079974078,464159,5621579,688.566,U086,DPF,684.526306152344,Contact 177,666.0112,18.5151061523439,,,DPF3,Y,Y,Y,BB050,Corythosaurus casuarius,G. F. Sternberg,1996-07-06,N,,,
Q260,Q,,50.8249956583,-111.6024876993,457565,5630537,650.4,,DPF,651.874938964844,Contact 021,649.226989746094,2.64794921875,,,DPF1,Y,Y,Y,,Saurornitholestes langstoni,C. Coy,2014-06-20,N,,,
Q261,Q,,50.8268764549,-111.5952280413,458078,5630742,658,,DPF,661.291687011719,Contact 017,648.4369,12.8547870117189,,,DPF1,Y,Y,Y,,Edmontonia,L. Treolar,2014-06-20,N,,,
Q262,Q,,50.8200731138,-111.8338853292,441261,5630148,668,U266,DPF,NA,NA,NA,NA,,,,N,N,N,,Styracosaurus albertensis in Matziwan Creek,S. Persons,2015-05-22,N,,Summer 2015,
Q263,Q,,50.7488392632,-111.4405535183,468920,5621988,692.8,U262,DPF,695.121643066406,Contact 158,660.995666503906,34.1259765625,,,DPF4,Y,Y,Y,,Chasmosaurine,E. Koppelhus,2014-06-23,N,,Summer 2015,
Q264,Q,,50.7649791175,-111.4340122243,469392,5623780,698,U258,DPF,698.512329101562,Contact 147,661.4158,37.0965291015621,,,DPF5,Y,Y,Y,,Prosaurolophus maximus,A. van der Reest,2014-08-06,N,,Summer 2015,
Q265,Q,,50.7495648252,-111.4413116084,468867,5622069,666.8,,DPF,666.8935546875,Contact 158,660.995666503906,5.89788818359398,,,DPF1,Y,Y,Y,,Ankylosauridae,H. Sato,2016-06-15,N,,,
Q266,Q,,50.7402475045,-111.4930946328,465207,5621056,,,DPF,705.987731933594,Contact 201,670.5576,35.430131933594,,,DPF3,Y,Y,Y,,Anchiacipenser,H. Sato,2016-06-15,N,,,
Q267,Q,,50.7859976362,-111.3651346833,474261,5626091,701.4,U269,DPF,704.402893066406,Contact 100,658.422424316406,45.98046875,,,DPF5,Y,Y,Y,,Chasmosaurus sp.,A. van der Reest,2017-05-27,N,,,
Q268,Q,,50.7100368464,-111.5481841101,461295,5617724,695.75,,DPF,NA,Contact 190,668.9937,26.7563,,,DPF5,N,Y,?,,Styracosaurus albertensis,J. Wood,2009-08,N,,,
Q269,Q,,50.7368372268,-111.4828129913,465930,5620672,692.5,,DPF,707.365112304688,Contact 201,670.5576,36.807512304688,,-19,DPF3,Y,Y,Y,,Lambeosaurus lambei,B. Belluk,1989-12-31,N,,,
Q270,Q,,50.7947391896,-111.3562496996,474892,5627060,694,,DPF,NA,Contact 076,655.748840332031,38.251159667969,,,DPF4,N,Y,?,,Crocodile skull,D. Tanke,2008-06-21,N,,,
Q271,Q,,50.7152960362,-111.525114337,462928,5618297,692,,DPF,NA,Contact 191,669.349,22.651,,,DPF3,N,Y,?,,Gorgosaurus libratus,B. Blossum,2015-11-01,N,,,
Q272,Q,,50.7447001715,-111.445900655,468540,5621530,685,,DPF,707.790161132812,Contact 158,660.995666503906,46.794494628906,,,DPF3,Y,Y,Y,,Chirostenotes pergracilis,E. Bamforth; G. Funston,2016-06-25,N,,,
Q273,Q,,50.741513482,-111.5082301898,464140,5621204,671,,DPF,671.158996582031,Contact 155,662.1328,3.75,,,DPF1,Y,Y,Y,,Euoplocephalus tutus,D. Tanke,Summer 2018,N,,,
Q274,Q,,50.7413438207,-111.5141100009,463725,5621188,668.683,U087,DPF,667.522583007812,Contact 238,660.914184570312,6.6083984375,,,DPF1,Y,Y,Y,,Gorgosaurus libratus,W. Sloboda,1992-07-01,N,,1998-08-20,
Q275,Q,,50.771697875,-111.4010592151,471719.88,5624512.93,691.23,U042,DPF,693.999206542969,Contact 157,661.868896484375,32.130310058594,,,DPF3,Y,Y,Y,,Hadrosauridae,J. Shultis,1982-07-18,N,,Summer 2018,
Q276,Q,,50.7061149611,-111.4131744325,470825,5617226,,,DPF,NA,Contact 212,661.22705078125,NA,,,DPF5,N,Y,?,,Styracosaurus albertensis,,1905-07-10,N,,Summer 2018,
Q277,Q,,50.8183525637347,-111.600230229799,457718,5629797,658,,DPF,662.254150390625,Contact 017,648.4369,13.817250390625,,,DPF1,Y,Y,Y,,Crocodile skull and partial skeleton,S. Vipond,1905-07-09,N,,,
Q278,Q,,50.7523951709589,-111.504038517233,464444,5622412,660.2,,DPF,666.518127441406,Contact 083,657.2258,9.29232744140597,,,DPF1,Y,Y,Y,,Hadrosaur arm and hand 1.5m above Q125,C. Coy,,N,,,
Q279,Q,,50.7519710882547,-111.451710938764,468135,5622341,,,DPF,676.798461914062,Contact 132,660.300903320312,9.5,,,DPF1,Y,Y,Y,,Tyrannosauridae,A. Lindsay,Fall 2019,N,,,
Q280,Q,,50.7498766657259,-111.491508932108,465326,5622126,,,DPF,674.132995605469,Contact 217,662.5041,11.628895605469,,,DPF1,Y,Y,Y,,Hadrosauridae,T. Kaskie,Summer 2021,N,,,
Q281,Q,,50.7413294808719,-111.498775049195,464807,5621179,,,DPF,676.196716308594,Contact 199,671.248474121094,4.9482421875,,,DPF1,Y,Y,Y,,Tyrannosauridae,J. Blacklaws,Summer 2020,N,,,
Q282,Q,,50.7397785072953,-111.503931415198,464442,5621009,,,DPF,683.901062011719,Contact 225,671.8,12.101062011719,,,DPF2,Y,Y,Y,,Tyrannosauridae,D. Tanke,Summer 2018,N,,,
Q283,Q,,50.7413241598462,-111.510396554112,463987,5621184,,,DPF,668.296752929688,Contact 155,662.1328,1.5,,,DPF1,Y,Y,Y,,Centrosaurus apertus,,,N,,,
Q284,Q,,,,458014,5630733,657.3,,DPF,654.555480957031,Contact 017,648.4369,2,,,DPF1,,Y,,,Centrosaurus apertus orbital region to back of skull,P. J. Currie,2023-06-22,N,,,
Q285,Q,,,,464177,5621297,,,,680.775451660156,Contact 225,671.8,8.97545166015607,,,,,Y,,,Foraminacephale dome and peripherals,P. Bell,,N,,,
Q286,Q,,50.7333487320362,-111.566579916032,460016,5620326,,,,685.391235351562,Contact 139,660.815246582031,24.575988769531,,,,,Y,,,Euoplocephalus tail club knob,C. Brown; T. Cox; E. Hughes; J. Nagle,2023-07-19,N,,,
Q287,Q,,,,460171,5620475,,,,693.949645996094,Contact 139,660.815246582031,33.134399414063,,,,,Y,,,Ornithomimid articulated skeleton,L. Liboiron,,N,,,
Q288,Q,,50.8148606156727,-111.584826564241,458800,5629400,,,,678.916625976562,Contact 017,648.4369,30.479725976562,,,,,Y,,,Hadrosaur skull and Plesiobaena carapace,,1998,N,,,
Q289,Q,,50.7817561868307,-111.349413261369,475367,5625614,,,,NA,Contact 076,655.748840332031,NA,,,,,Y,,,cf. Styracosaurus incomplete skull,,2003,N,,,
